Location ,TP ,FL ,Size,N,C,Sample ID 
Chagos ,3.094117647,253,2,12.84,-14.15764007,LG-12
Chagos ,3.202941176,262,2,13.21,-13.54023341,LG-49
Chagos ,2.897058824,275,3,12.17,-11.86658055,LG-43
Chagos ,2.870588235,283,3,12.08,-13.96973267,LG-22
Chagos ,3.020588235,285,3,12.59,-13.81975389,LG-13
Chagos ,3.067647059,287,3,12.75,-14.84275731,LG-38
Chagos ,3.038235294,292,3,12.65,-14.82791224,LG-06
Chagos ,2.967647059,297,4,12.41,-15.45195392,LG-04
Chagos ,2.688235294,298,4,11.46,-9.899845948,LG-26
Chagos ,3.061764706,301,4,12.73,-15.45183797,LG-07
Chagos ,2.988235294,305,4,12.48,-14.11262592,LG-09
Chagos ,2.855882353,310,4,12.03,-12.40680902,LG-44
Chagos ,2.897058824,326,5,12.17,-10.43419797,LG-36
Chagos ,2.961764706,333,5,12.39,-12.95801975,LG-25
Chagos ,2.891176471,334,5,12.15,-13.10540354,LG-19
Chagos ,2.958823529,339,5,12.38,-12.34922516,LG-40
Chagos ,3,345,5,12.52,-14.92027058,LG-29
Maldives ,2.806029162,215,1,11.86,-14.06,MLG-80
Maldives ,2.840384189,220,1,11.98,-11.95,MLG-73
Maldives ,2.792886145,225,1,11.82,-13.3,MLG-107
Maldives ,2.95014715,230,1,12.35,-14.67,MLG-74
Maldives ,2.657033378,240,2,11.35,-13.76,MLG-117
Maldives ,3.039690666,250,2,12.65,-16.32,MLG-106
Maldives ,3.076921595,255,2,12.78,-15.64,MLG-101
Maldives ,3.14818867,255,2,13.02,-14.21,MLG-75
Maldives ,3.115532139,260,2,12.91,-16.06,MLG-70
Maldives ,2.777616012,265,3,11.76,-13.43,MLG-69
Maldives ,3.010349511,265,3,12.56,-16.17,MLG-71
Maldives ,3.002985697,270,3,12.53,-15.91,MLG-105
Maldives ,2.95875734,275,3,12.38,-16.46,MLG-98
Maldives ,3.047143824,280,3,12.68,-15.38,MLG-68
Maldives ,3.152876176,285,3,13.04,-16.08,MLG-65
Maldives ,3.01405969,295,4,12.57,-17.33,MLG-67
Maldives ,2.400635427,300,4,10.48,-11.53,MLG-128
Maldives ,3.033898043,300,4,12.64,-14.23,MLG-84
Maldives ,2.709384678,315,4,11.53,-13.16,MLG-113
Maldives ,2.94334493,335,5,12.33,-15.05,MLG-83
Maldives ,3.128214266,340,5,12.96,-16.05,MLG-100
Maldives ,3.119119155,345,5,12.93,-16.32,MLG-103
Maldives ,3.040492917,305,4,12.66,-14.55,MLG-85
SR,NA,312,4,9.48,-9.55,N-021
SR,NA,246,2,9.79,-11.55,N-028
SR,NA,249,2,9.79,-11.93,N-035
SR,NA,240,2,10.17,-12.59,N-64
SR,NA,230,1,10.12,-13.01,NS-06
SR,NA,220,1,9.73,-10.91,NS-132
SR,NA,288,3,9.37,-11.33,S-050
SR,NA,220,1,9.46,-11.11,S-054
SR,NA,337,5,11.11,-13.28,S-097
SR,NA,282,3,10.82,-14.13,S-099
SR,NA,254,2,10.86,-14.09,S-100
SR,NA,303,4,11.91,-14.57,S-151
SR,NA,292,3,10.00,-10.90,S-152
SR,NA,275,3,11.71,-15.26,S-154
SR,NA,289,3,9.23,-9.93,S-193
SR,NA,334,4,10.87,-12.96,S-194
SR,NA,313,4,11.15,-13.29,S-196
SR,NA,234,1,9.73,-11.11,S-199
SR,NA,243,2,10.11,-13.58,S-201
SR,NA,304,4,9.00,-9.80,S-51
SR,NA,348,5,10.53,-12.34,SS-044
