Location ,TP ,FL ,Size,N,C,Sample ID 
Chagos ,3.094457059,253,2,12.84,-14.15764007,LG-12
Chagos ,3.203280588,262,2,13.21,-13.54023341,LG-49
Chagos ,2.897398235,275,3,12.17,-11.86658055,LG-43
Chagos ,2.870927647,283,3,12.08,-13.96973267,LG-22
Chagos ,3.020927647,285,3,12.59,-13.81975389,LG-13
Chagos ,3.067986471,287,3,12.75,-14.84275731,LG-38
Chagos ,3.038574706,292,3,12.65,-14.82791224,LG-06
Chagos ,2.967986471,297,4,12.41,-15.45195392,LG-04
Chagos ,2.688574706,298,4,11.46,-9.899845948,LG-26
Chagos ,3.062104118,301,4,12.73,-15.45183797,LG-07
Chagos ,2.988574706,305,4,12.48,-14.11262592,LG-09
Chagos ,2.856221765,310,4,12.03,-12.40680902,LG-44
Chagos ,2.897398235,326,5,12.17,-10.43419797,LG-36
Chagos ,2.962104118,333,5,12.39,-12.95801975,LG-25
Chagos ,2.891515882,334,5,12.15,-13.10540354,LG-19
Chagos ,2.959162941,339,5,12.38,-12.34922516,LG-40
Chagos ,3.000339412,345,5,12.52,-14.92027058,LG-29
Maldives ,2.400339412,300,4,10.48,-11.53,MLG-128
Maldives ,2.656221765,240,2,11.35,-13.76,MLG-117
Maldives ,2.709162941,315,4,11.53,-13.16,MLG-113
Maldives ,2.77681,265,3,11.76,-13.43,MLG-69
Maldives ,2.794457059,225,1,11.82,-13.3,MLG-107
Maldives ,2.806221765,215,1,11.86,-14.06,MLG-80
Maldives ,2.841515882,220,1,11.98,-11.95,MLG-73
Maldives ,2.944457059,335,5,12.33,-15.05,MLG-83
Maldives ,2.950339412,230,1,12.35,-14.67,MLG-74
Maldives ,2.959162941,275,3,12.38,-16.46,MLG-98
Maldives ,3.003280588,270,3,12.53,-15.91,MLG-105
Maldives ,3.012104118,265,3,12.56,-16.17,MLG-71
Maldives ,3.015045294,295,4,12.57,-17.33,MLG-67
Maldives ,3.035633529,300,4,12.64,-14.23,MLG-84
Maldives ,3.038574706,250,2,12.65,-16.32,MLG-106
Maldives ,3.041515882,305,4,12.66,-14.55,MLG-85
Maldives ,3.047398235,280,3,12.68,-15.38,MLG-68
Maldives ,3.07681,255,2,12.78,-15.64,MLG-101
Maldives ,3.115045294,260,2,12.91,-16.06,MLG-70
Maldives ,3.120927647,345,5,12.93,-16.32,MLG-103
Maldives ,3.129751176,340,5,12.96,-16.05,MLG-100
Maldives ,3.147398235,255,2,13.02,-14.21,MLG-75
Maldives ,3.153280588,285,3,13.04,-16.08,MLG-65
SR,2.862058824,312,4,12.049,-11.55631,N-021
SR,2.953235294,246,2,12.359,-13.55631,N-028
SR,2.953235294,249,2,12.359,-13.93631,N-035
SR,3.065,240,2,12.739,-14.59631,N-64
SR,3.050294118,230,1,12.689,-15.01631,NS-06
SR,2.935588235,220,1,12.299,-12.91631,NS-132
SR,2.829705882,288,3,11.939,-13.33631,S-050
SR,2.856176471,220,1,12.029,-13.11631,S-054
SR,3.341470588,337,5,13.679,-15.28631,S-097
SR,3.256176471,282,3,13.389,-16.13631,S-099
SR,3.267941176,254,2,13.429,-16.09631,S-100
SR,3.576764706,303,4,14.479,-16.57631,S-151
SR,3.015,292,3,12.569,-12.90631,S-152
SR,3.517941176,275,3,14.279,-17.26631,S-154
SR,2.788529412,289,3,11.799,-11.93631,S-193
SR,3.270882353,334,4,13.439,-14.96631,S-194
SR,3.353235294,313,4,13.719,-15.29631,S-196
SR,2.935588235,234,1,12.299,-13.11631,S-199
SR,3.047352941,243,2,12.679,-15.58631,S-201
SR,2.720882353,304,4,11.569,-11.80631,S-51
SR,3.170882353,348,5,13.099,-14.34631,SS-044
